i am thinking aapl calls roku puts not sure i will take amzn,0
trade plan 4 28 aapl short 160 rejection or 156 breakdown abnb short 150 breakdown also want short 160 rejection amzn looking short 2820 2840 area ba long upside break through 158 or short 151 breakdown towards 146 baba short 90 resistance or 85 breakdown,0
spy price action momentum looks like it hit brick wall at 416 with fb earnings we may bounce here aapl will be deciding factor short mid term watch bull bear traps tomorrow,0
as crazy as earnings were today tomorrow we have aapl amzn twtr intc ma mcd roku cat mo hood more,0
rt earnings tomorrow aapl apple twtr twitter amzn amazon roku roku ma mastercard mcd mcdonalds intc intel hoo,0
rt it s not such crazy idea decade later is it,0
wouldn t be very surprised if aapl earnings accidentally leak during market hours tomorrow,0
rt hey s efforts bully us submission make us give up fighting union will fail we will,0
i don t have either rn might play aapl small but nothing crazy,0
rt watching aapl puts at resistance or calls if it holds above 160,0
not you particular people just have unrealistic expectations er is friday it s 1 10 weight spy along with amzn amp aapl so this could get interesting,0
rt aapl we are currently retesting old resistance another tech play looking like it should bounce if we go under 152,0
aapl all that you need know shorts havent covered single share,0
business essentials le nouveau service d pour les ouvre ses portes aux tats unis,0
rt watchlist 4 28 22 spy calls over 423 puts under 415 tsla calls over 900 puts under 875 aapl calls over 160 b,0
s amp p500 aapl amzn,0
rt has cramer said anything about aapl yet,0
aapl gonna miss amazon gonna go green but barely that will bring spiraling down knife just time print puts fb that pushes today miss was artificially pumped friday will be red then powell talks may 3 4 50bps blood,0
rt some my favorite dividend stocks real estate stag vici dlr o iipr retail cost hd tgt wmt consumer,0
fb 15 aapl amzn,0
sell aapl,0
msft had earnings it s aapl amp amzn,0
rt year date returns 1 fb 48 2 aapl 14 3 amzn 19 4 nflx 68 5 googl 22 these five stocks hav,0
sorry abt lack content guys as you know i have finals next week ive only been grinding im going be making video or doing twitter space my futures trading strategy so stay tuned that its very simple it works well spy aapl dis tsla qqq,0
rt nasdaq 100 components with biggest weighting 1 aapl 12 8 earnings thur 2 msft 10 1 beat 3 amzn 7 1,0
qqq up btc breaks 40k market will be hyped aapl amazon earnings like they were microsoft meta friday qqq dump after they price aapl stock buyback amazon supply issues,0
rt 4 27 22 msft qqq qcom tsla aapl fb smh cvna twtr snap amzn,0
rt most mentioned tickers wsb via 1 fb 2 tsla 3 pypl 4 msft 5 aapl 6 nflx 7 tdoc 8 bynd,0
new blog post gt gt markets run out air as more distribution seeps market volume update aapl amzn spy spx qqq,0
apple aapl will make offer buy netflix nflx,0
aapl amzn er tomorrow after close this obviously huge direction market aapl china issues probably wont guide again but aapl is good at sandbagging us amzn still easiest way buy crap cloud game still paying im hopeful,0
aapl 4000 amazon 500,0
tomorrow we win day spy aapl amzn,0
aapl real price will come out soon follow price targets,0
ater spy aapl pypl msft nflx,0
aapl will beat act like china is nbd amzn should be solid ppl will start think about bottom e com,0
rt ma ana continuamos con los reportes de y tenemos mrk lly ma twtr cat mcd luv aapl amzn roku intc,0
rt earnings preview can apple aapl keep its meteoric sales growth,0
aapl with qcom er today it s hard be bearish king spy qqq,0
aapl looks like many legit traders include here amp making profits consistently,0
ive made 36k with them if you really want make huge profit trading choose this professional chat tsla nkla roku aapl jpm amzn msft zm fb,0
excited start tomorrow so many great setups learn how trade right way amzn aapl ba baba fb tsla msft roku nkla qqq xlp nio sq iwm,0
ndx main event after hours er 4 28 amzn aapl,0
most profitable trading community get up 574 profits spy qqq amzn nvda ba tsla baba amd aapl,0
rt aapl goog amp msft may adapt their tos moderate twitter we need develop hardware os starlink network,0
aapl amzn will be interesting watch given last few days,0
discord best stock traders group out there updates chatroom analysis bidu save work t aapl c msft spy fb chwy pton dis f,0
aapl only thing that matters wednesday sit tight right wave market update april 27 2022,0
idxg aim mark ayro blu tsla ibio phun inuv tsla solo bioc abus gnus royt aim aapl,0
this sell signal returns eve aapl spamfree tsla amzn,0
learn trading get alerts ideas updates analysis amd nvda tsla ndx spy aapl baba nflx roku ba cost mcd,0
new watchlist is up tmrw now my team is always ready any market so proud them work they have done lets print tmrw ko aapl amzn msft spy sign up early may now ill refund your april payment here,0
learn trading get alerts ideas updates analysis amd nvda tsla ndx spy aapl baba nflx,0
welcome discord group spy qqq ath ccl amd aapl msfy ba imo yolo amd nvda tsla ndx spy aapl baba nflx roku ba,0
4 28 watchlist ba 157 20c 151 10p aapl 159 50c 155 40p f 15c 14 70p pins 18 91c 18 33p,0
fb pypl tdoc pins aapl amzn,0
you think aapl amzn do enough tomorrow,0
being banned united states where regulators are less aggressive other technology firms could effectively create same threat apple example gets decide which apps appear its influential store aapl twtr,0
rt apple aapl is expected announce share buyback program as much as 90 billion when it unveils its quarterly r,0
earnings creating crazy volatility throwing market ebb flow off aapl will be interesting theres fair value gap downside,0
apple aapl earnings report date nasdaq,0
rt relief rally that traps all bulls before aapl amzn miss,0
3 30 nisa 4 e maxis slim apple 4,0
2022 04 28 msft 15 23 aapl 8 07 qyld 14 04 qylg 17 60 vti 9 41 emaxis sp500 2 15 36 37 msft fb qyld aapl,0
earnings preview can apple aapl keep its meteoric sales growth,0
aapl,0
rt daily plans 4 28 msft amd aapl nflx,0
relief rally that traps all bulls before aapl amzn miss,0
rt automated hourly aapl sentiment report 1 product series reviews 56 87 54 72,0
rt aapl goog msft amzn tsla v ma xiom cvx,0
automated hourly aapl sentiment report 1 product series reviews 56 87 54 72 67 68 51 118 82 34 general products 53 59 2 company news 185 142 3 social media 76 61 04 28 2022 03 07 utc,0
